Start_DateTime_cdt,Stop_DateTime_cdt,AL_FlowRate_L.min,Sample,SampleType,EPA_carbon,UI_carbon
2024-04-08T11:05:10,2024-04-08T11:18:25,2,1,A,FALSE,TRUE
2024-04-08T11:32:50,2024-04-08T11:44:30,2,2,A,FALSE,TRUE
2024-04-08T12:26:45,2024-04-08T12:48:43,2,3,S,TRUE,FALSE
2024-04-08T13:28:00,2024-04-08T13:43:50,2,4,S,TRUE,FALSE
2024-04-08T14:03:00,2024-04-08T14:15:35,2,5,S,TRUE,FALSE
2024-04-09T11:46:10,2024-04-09T12:08:40,2,6,S,TRUE,FALSE
2024-04-09T12:40:25,2024-04-09T13:03:45,2,7,S,FALSE,FALSE
2024-04-09T13:57:10,2024-04-09T14:21:10,2,8,S,TRUE,FALSE
2024-04-09T14:25:50,2024-04-09T14:49:12,2,9,S,TRUE,FALSE
2024-04-10T09:51:00,2024-04-10T10:12:20,2,10,A,FALSE,FALSE
2024-04-10T11:55:10,2024-04-10T12:17:40,2,11,S,FALSE,FALSE
2024-04-10T13:49:00,2024-04-10T14:12:10,2,12,S,TRUE,FALSE
2024-04-10T15:20:30,2024-04-10T15:37:15,2,13,S,TRUE,FALSE
2024-04-10T15:52:16,2024-04-10T16:12:25,2,14,S,TRUE,FALSE
