SlideID,Project,Sampler,SampleType,StainType,StainDate,LB_Batch,DateCounted,Who,Magn.,Photos,Notes
1A_B,Konza4,Button,Ambient,CW/KOH,20240622,K4_A,,LL,1000x,,
2A_B,Konza4,Button,Ambient,CW/KOH,20240624,K4_A,,LL,1000x,,
3A_B,Konza4,Button,Smoke,CW/KOH,20240703,K4_B,,LL,1000x,,
4A_B,Konza4,Button,Smoke,CW/KOH,20240703,K4_B,,LL,1000x,,
5A_B,Konza4,Button,Smoke,CW/KOH,20240704,K4_B,,LL,1000x,,
6A_B,Konza4,Button,Smoke,CW/KOH,20241119,K4_C,,LL,1000x,,
7A_B,Konza4,Button,Smoke,CW/KOH,20241119,K4_C,,LL,1000x,,
8A_B,Konza4,Button,Smoke,CW/KOH,20241119,K4_C,,LL,1000x,,
9A_B,Konza4,Button,Smoke,CW/KOH,20241119,K4_C,,LL,1000x,,
11A_C,Konza4,Button,Smoke,CW/KOH,20240622,K4_A,,LL,1000x,,
12A_B,Konza4,Button,Smoke,CW/KOH,20240717,K4_B,,LL,1000x,,
13A_B,Konza4,Button,Smoke,CW/KOH,20240717,K4_B,,LL,1000x,,
14A_B,Konza4,Button,Smoke,CW/KOH,20240717,K4_B,,LL,1000x,,
FieldBlank3B_B,Konza4,Blank,Blank,CW/KOH,20250329,K4_D,,LL,1000x,,
FieldBlank4B_B,Konza4,Blank,Blank,CW/KOH,20250330,K4_D,,LL,1000x,,
LabBlank_E_20240703,Konza4,Blank,Blank,CW/KOH,20240703,K4_B,,LL,1000x,,
LabBlank_B_20240621,Konza4,Blank,Blank,CW/KOH,20240621,K4_A,,LL,1000x,,
LabBlank_B_20250309,Konza4,Blank,Blank,CW/KOH,20250309,K4_D,,LL,1000x,,
LabBlank_B_20241119,Konza4,Blank,Blank,CW/KOH,20241119,K4_C,,LL,1000x,,
